,dropoff_location_name,average_trips
0,Loop,10727.466666666667
1,River North,9523.666666666666
2,Streeterville,6664.666666666667
3,West Loop,5163.666666666667
4,O'Hare,2546.9
5,Lake View,2420.9666666666667
6,Grant Park,2068.5333333333333
7,Museum Campus,1510.0
8,Gold Coast,1364.2333333333331
9,Sheffield & DePaul,1259.7666666666669
10,Lincoln Park,1246.5333333333333
11,East Village,1212.0666666666666
12,"Little Italy, UIC",863.7
13,Uptown,849.6666666666666
14,Near South Side,839.8333333333334
15,Garfield Ridge,745.4
16,Logan Square,620.3333333333334
17,Edgewater,583.3
18,West Town,516.4
19,Old Town,469.56666666666666
20,Rush & Division,395.53333333333336
21,North Center,393.26666666666665
22,Lincoln Square,356.7333333333333
23,Rogers Park,299.03333333333336
24,West Ridge,298.3333333333333
25,Irving Park,296.56666666666666
26,Hyde Park,255.13333333333333
27,Avondale,208.2333333333333
28,Wicker Park,182.6
29,Albany Park,180.9
30,United Center,178.9
31,Lower West Side,143.3
32,Douglas,142.9
33,Portage Park,119.73333333333332
34,Humboldt Park,97.86666666666666
35,Norwood Park,95.23333333333332
36,Kenwood,89.36666666666666
37,Bridgeport,77.1
38,Armour Square,77.03333333333333
39,Jefferson Park,74.33333333333333
40,Bucktown,74.3
41,North Park,67.83333333333333
42,Garfield Park,65.76666666666667
43,Mckinley Park,64.03333333333333
44,Belmont Cragin,59.03333333333333
45,Boystown,53.96666666666667
46,Chinatown,52.43333333333333
47,Grand Boulevard,51.6
48,Austin,44.43333333333333
49,"Sauganash,Forest Glen",43.56666666666667
50,South Shore,40.53333333333333
51,Woodlawn,36.16666666666666
52,Little Village,33.8
53,Jackson Park,33.10344827586207
54,North Lawndale,32.166666666666664
55,Dunning,30.166666666666668
56,Ukrainian Village,27.6
57,Hermosa,27.566666666666663
58,Englewood,25.433333333333334
59,Chatham,23.2
60,New City,22.933333333333334
61,Grand Crossing,22.6
62,Brighton Park,19.466666666666665
63,Andersonville,16.866666666666667
64,Oakland,16.633333333333333
65,Ashburn,16.133333333333333
66,Washington Park,16.033333333333335
67,Auburn Gresham,15.166666666666666
68,Clearing,14.5
69,Roseland,14.366666666666667
70,Wrigleyville,14.233333333333333
71,Edison Park,14.166666666666666
72,South Chicago,13.0
73,Chicago Lawn,12.266666666666667
74,Beverly,10.5
75,Calumet Heights,9.566666666666666
76,Washington Heights,9.133333333333333
77,Archer Heights,8.366666666666667
78,Gage Park,8.233333333333333
79,Fuller Park,8.166666666666666
80,West Lawn,7.733333333333333
81,Morgan Park,7.7
82,South Deering,7.5
83,Avalon Park,6.966666666666667
84,West Pullman,6.466666666666667
85,Montclare,5.766666666666667
86,West Elsdon,5.666666666666667
87,Pullman,3.896551724137931
88,Undef,3.8
89,Mount Greenwood,3.1379310344827585
90,Hegewisch,3.117647058823529
91,Burnside,2.333333333333333
92,East Side,1.9615384615384612
93,Riverdale,1.8
